nom_streamer;plateforme;pays;categorie_contenu;style_stream;moyenne_viewers;pic_viewers;abonnements_mensuels;dons_mensuels_eur;duree_watch_moyenne_min;duree_stream_moyenne_h;frequence_stream_mois;langue;date_creation_compte;date_dernier_stream;revenu_mensuel_eur;partenaire_officiel
SilentHarborLive;Twitch;Belgique;MMO;Chill;696;1934;259;556.25;32.3;3.65;12;Néerlandais;2021-06-18;2025-01-17;1203.75;Oui
PrimeSage;Twitch;Royaume-Uni;Cuisine;Competitif;2154;3634;760;962.06;50.9;5.61;22;Anglais;2018-03-28;2025-01-04;2862.06;Oui
VelvetDrakeYT;Twitch;Belgique;Cuisine;Chill;2291;6635;1268;1306.71;60.6;2.93;15;Français;2019-09-18;2025-11-06;4476.71;Non
EchoHorizonX;Twitch;Royaume-Uni;Just Chatting;Esport;732;2279;224;231.68;95.7;5.22;17;Anglais;2020-02-10;2025-10-23;791.68;Oui
RuneQuasarYT;Twitch;Suisse;IRL;Educatif;526;1530;9;0.0;34.1;3.37;14;Italien;2022-03-03;2025-11-22;22.5;Non
NeoGuardianTV;TikTok;Belgique;Creation;Esport;217;396;42;76.2;62.0;6.02;27;Français;2023-12-24;2025-05-06;181.2;Oui
PhantomBladeFR;TikTok;Suisse;Sport;Chill;148;358;17;50.42;54.3;7.55;27;Italien;2012-09-19;2025-06-11;92.92;Non
PhantomOrbitLive;YouTube;Suisse;Horreur;Educatif;314;639;129;9.71;49.0;7.66;27;Allemand;2022-04-16;2025-03-15;332.21;Non
PhantomSage_89;TikTok;Brésil;Creation;Educatif;221;393;93;32.46;97.0;5.23;28;Portugais;2016-12-01;2025-03-12;264.96;Non
RapidRunnerLive;Twitch;Brésil;Creation;Chill;609;1024;170;205.41;34.2;2.66;25;Portugais;2020-07-23;2025-11-02;630.41;Non
TurboFoxTV6;TikTok;Belgique;MMO;Humoristique;208;532;160;237.84;117.4;7.16;5;Français;2019-08-18;2025-02-27;637.84;Non
VelvetShardX;YouTube;Royaume-Uni;Musique;Communautaire;126;298;71;19.82;70.8;7.72;28;Anglais;2018-09-10;2025-11-24;197.32;Oui
